age,gender,bmi,children,smoker,region,charges
56,male,23.779201893227206,1,no,southeast,11452.139984065285
46,female,33.52462827776236,2,no,northeast,17491.39987071689
32,female,20.207944398335023,4,yes,northwest,40008.86701634948
60,female,17.204776173519672,4,no,northeast,17789.214152144923
25,male,27.76005780021333,3,yes,northwest,36328.84260135408
38,male,23.991783102589554,4,no,northeast,16856.02583071778
56,male,21.91506873147715,0,yes,southeast,30175.14214017907
36,male,28.833425789197413,4,no,northeast,20375.11372349933
40,male,26.975202855084795,3,no,southwest,15374.709129531406
28,male,23.743685477053088,2,no,northwest,12392.728878509271
28,male,20.87878240531642,2,no,northwest,12296.547865822891
41,male,29.48982931312058,4,no,southeast,14746.767129305212
53,female,28.600804711834645,1,no,northwest,13596.983239799052
57,female,25.60329654488247,2,no,southwest,13695.275260096028
41,male,33.38654798419066,4,yes,northeast,35935.00331654689
20,male,21.71966093469539,3,no,southeast,11965.725839102475
39,female,19.897899316301043,4,yes,southwest,35849.22226072611
19,male,23.232367720475022,2,no,northwest,12959.765078260662
41,male,25.81765593457801,3,no,northwest,13135.951954711538
61,male,26.973357797290767,4,no,southwest,17914.976681359647
47,female,25.03505576857468,0,no,northeast,10177.78767481096
55,female,27.408221586057188,3,no,northeast,14330.056774502942
19,female,20.993842303238225,0,yes,southeast,25581.986483535333
38,female,31.77505841629304,1,no,northwest,8826.058212592165
50,female,25.671395286429725,3,no,southwest,17974.30197729674
29,male,30.46918332635251,0,no,northeast,8391.110424390132
39,female,27.370901385510816,2,no,southeast,13342.344587097678
61,male,27.827012876615136,2,no,northwest,17497.423214905208
42,male,28.279069120928817,1,no,northwest,10411.276056877989
44,female,27.79083424006926,3,no,southeast,15334.192830717844
59,female,28.570891039470176,3,no,southeast,15501.522209282555
45,male,31.316610120529724,3,no,northeast,14646.314582114323
33,male,26.78608467880588,1,yes,southwest,28816.051147749422
32,male,28.836015030354048,3,no,northwest,13982.222224403478
64,female,25.641057222851092,2,no,southwest,14758.620376224088
61,female,31.76046886179789,0,no,northwest,13029.358074156338
20,female,23.29443079176292,2,yes,northwest,29217.5661039162
54,female,33.20376173164326,2,no,southwest,16680.017698163607
24,female,25.839368197422626,0,no,southeast,8537.876222530982
38,male,20.27689959152781,2,no,northeast,11864.355634335468
26,female,26.512417659643155,1,no,northwest,8293.03438709187
56,male,23.275793370100477,0,yes,southeast,30770.15806395998
35,male,29.362574195954895,2,no,northwest,12966.679913170088
21,male,23.389504082790438,4,no,northeast,15540.70365854709
42,female,24.21526626714088,2,no,northwest,16339.732872519933
31,female,18.441837076217876,1,no,northeast,10237.274096855432
26,female,24.190774723003692,3,yes,northeast,32321.538877439736
43,male,16.304482693484175,2,no,northwest,11518.220776115882
19,male,19.664388706057107,3,yes,northwest,31195.59673735683
37,male,29.041658624577188,4,no,northeast,14582.799110693193
45,male,29.14320063460333,2,no,southeast,16194.127343611823
64,male,27.70183024713986,0,no,southwest,7473.808410716443
24,male,22.132095427483147,3,no,northeast,14376.209635438612
61,female,25.809154575432082,4,no,northwest,17525.703101735955
25,female,25.985589843637726,0,no,northwest,6672.3075394793095
64,female,21.36654124322983,0,no,southeast,9604.024716911223
52,female,32.0135932070686,0,no,southwest,14494.447960697784
31,male,29.509449162302687,0,no,northeast,9034.521035832091
34,male,25.116143304681344,2,yes,northeast,34003.985711021975
53,female,26.107543355978123,2,no,southwest,17122.562388387636
57,male,26.83353123179021,2,no,northeast,15393.51719440285
21,female,17.833060526302837,4,no,southwest,12708.752458289575
19,female,25.01129046991761,4,no,northwest,14460.972593751978
23,female,23.272063008008807,4,no,southwest,13815.503972867595
59,male,21.993519960420336,1,yes,northeast,31892.991676225403
21,female,24.87559882845618,4,no,southwest,14910.752414701423
46,female,33.19074610739809,2,no,southeast,14969.83793729509
35,female,28.56337144506804,2,no,northwest,14036.892611054182
43,male,23.715284040868813,1,yes,northwest,32414.608587560975
61,male,28.290331125424636,1,no,southwest,13489.775872552013
51,female,31.597421746344008,4,no,northeast,20226.422185484636
27,male,29.698534731651076,3,no,southeast,13540.987236459332
53,male,26.238521479680696,1,yes,northwest,35177.26394712915
31,male,23.412252889177704,0,no,northwest,6968.977423564707
48,male,28.79289325445436,2,no,northeast,16952.951620135726
32,male,27.573941541687,0,no,northeast,5762.654124793957
